epsilon,n_trials,path_A_max,path_B_mean,path_B_std,fraction_dissolved,threshold
0.001,10000,0.0,0.005615858361124992,0.0030681907664984465,0.9995999932289124,0.0001
0.01,10000,0.0,0.0559515580534935,0.03041861578822136,1.0,0.0001
0.05,10000,0.0,0.2578025162220001,0.12742604315280914,1.0,0.0001
0.1,10000,0.0,0.4133504033088684,0.16961513459682465,1.0,0.0001
0.3,10000,0.0,0.46996068954467773,0.16595493257045746,1.0,0.0001
0.5,10000,0.0,0.47091245651245117,0.16594140231609344,1.0,0.0001
1.0,10000,0.0,0.46975043416023254,0.16755542159080505,1.0,0.0001
