form,mean_delta_H,max_delta_H,min_delta_H
nist,8.81991724099862e-09,4.7453346496695303e-07,4.815348390735583e-18
dual_tsallis,2.0649538328143535e-06,4.1637744288891554e-05,8.934875950217247e-09
mixed_renyi_tsallis,293540.09375,861894.0,0.0
