w_c,max_rel_dev_vs_exact,r2_vs_exact
0.05,0.0002557696152235515,0.9999999998491484
0.1,9.96026485221222e-05,0.9999999999770955
0.2,6.866608554012358e-05,0.9999999999905314
0.4,3.359936457541072e-05,0.999999999997925
0.8,1.7729423294165503e-05,0.9999999999996467
