alpha_K,max_rel_halfsplit_dev,median_rel_spread,verdict
0.5,0.0745328617113803,0.43753293406481164,H1_stationary
1.0,0.11321255267107197,0.677591128204789,H1_stationary
2.0,0.13616080050620188,0.8267997387934111,H1_stationary
