alpha_K,fitted_slope,expected_slope
0.3,-0.2785912956947223,-0.27859130857902753
0.5,-0.4493903521317587,-0.4493902933211461
0.7,-0.6004739076605582,-0.6004738862774087
1.0,-0.7764836634064578,-0.7764837082027354
1.5,-0.9298033655003912,-0.9298034455787666
