alpha_K,max_rel_dev_vs_exact,x_spread,fit_q,q_pred,fit_tau_c,tc_pred
0.7,1.1173420128028642e-05,5.608145059454728e-09,2.4339546385263913,2.428571428571429,1.4690053144655804,1.4285714285714286
1.5,0.00016759313846216391,9.347402851744846e-10,1.665380349803292,1.6666666666666665,0.678964809974382,0.6666666666666666
2.0,0.0004710922263724573,9.34715416178733e-10,1.4989286187727995,1.5,0.5065802248627216,0.5
3.0,0.00013972960425223487,1.402036264863682e-09,1.3327922020000302,1.3333333333333333,0.3355385406394854,0.3333333333333333
