alpha_K,r2_shape_iid,r2_shape_struct,resid_rms_iid,resid_rms_struct,iid_pass,struct_pass
0.7,0.9988878805198714,0.9228178263752912,0.0149657210140429,0.018441161017508707,True,True
1.0,0.9989847286581754,0.8502239131511627,0.006051459210918364,0.011318637507482444,True,False
1.5,0.9980194855390395,0.5781502374122429,0.0016862733517230186,0.008534833352563638,True,False
2.0,0.9950604456921365,0.008930594486184273,0.0010254885361088671,0.008457315006152473,True,False
