alpha_K,inv_aK,q_fixed,tc_fixed,r2_shape,r2_tail,chi2,r2_shape_pass,secondary_fit_q
0.3,3.3333333333333335,4.333333333333334,3.3333333333333335,0.9990371164583899,-1.0281620528765263,46259.3198395388,True,3.5627864378187577
0.5,2.0,3.0,2.0,0.998801669340563,0.2602651398180128,20085.5398949212,True,2.71014909364979
0.7,1.4285714285714286,2.428571428571429,1.4285714285714286,0.9988878805198714,0.729073499855801,6545.715580625946,True,2.245449588502368
1.0,1.0,2.0,1.0,0.9989847286581754,0.9370128483081538,1066.6858574220303,True,1.872729014768722
1.5,0.6666666666666666,1.6666666666666665,0.6666666666666666,0.9980194855390395,0.9896367661173779,93.54876293751002,True,1.579623772360617
2.0,0.5,1.5,0.5,0.9950604456921365,0.9917263954328426,38.4429476071759,True,1.4456506967290808
3.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.9757311783367522,0.9691334580348686,33.71798305578444,True,1.3883230775041187
