N,mean_corr_normal,std_normal,mean_corr_flipped,std_flipped
10,0.6950891053597961,0.14282649013686596,-0.7439567902813584,0.10388855712286671
50,0.758957835907437,0.03491997894737097,-0.7524149155938396,0.06094057157757943
100,0.7468235571001702,0.03153707905634634,-0.7646700270166704,0.03804175130657942
500,0.6130121946402226,0.10853854009314194,-0.6127417778908815,0.10927111546406253
